size,stage,time_ms,gflops,speedup
128,simd,0.387,10.84,6.98
128,prefetch,3.792,1.11,0.71
128,optimized,2.054,2.04,1.32
256,simd,2.428,13.82,6.98
256,prefetch,34.717,0.97,0.49
256,optimized,16.886,1.99,1.00
384,simd,8.910,12.71,6.78
384,prefetch,110.803,1.02,0.55
384,optimized,25.244,4.49,2.39
512,simd,8.924,30.08,6.55
512,prefetch,154.134,1.74,0.38
512,optimized,58.729,4.57,1.00
768,simd,37.557,24.12,8.41
768,prefetch,413.357,2.19,0.76
768,optimized,212.525,4.26,1.49
1024,simd,123.313,17.41,4.15
1024,prefetch,977.343,2.20,0.52
1024,optimized,510.658,4.21,1.00
1536,simd,1004.884,7.21,2.65
1536,prefetch,734.051,9.87,3.63
1536,optimized,2950.101,2.46,0.90
2048,simd,2665.706,6.44,2.32
2048,prefetch,2482.201,6.92,2.49
2048,optimized,5023.974,3.42,1.23
